	Cyanophaia_bicolor	Orthorhyncus_cristatus	Eulampis_jugularis
hyptis_atrorubens	0	5	0
heliconia_bihai	0	0	5
stachytarpheta_urticifolia	0	38	0
miconia_purpura	19	1	0
renealmia_pyramidalis	49	9	0
lobelia_stricta	141	0	1
schradera_exotica	30	7	0
manettia_dominicensis	21	0	0
psychotria_urbaniana	10	6	0
vaccinium_racemosu	37	4	0
clusia_mangle	20	0	1
collandra_petiolaris	4	0	0
