Site,Year,MeanTmean,MeanTmax,MeanTmin,CumPrecip,MeanVPD,MeanTmean_normal,MeanTmax_normal,MeanTmin_normal,MeanVPD_normal,CumPrecip_normal,MeanTmean_z,MeanTmax_z,MeanTmin_z,CumPrecip_z,MeanVPD_z
CH,2012,18.6868421052632,24.8754385964912,12.490350877193,308.33,24.6734210526316,12.968897959183673,19.372448979591837,6.564857142857143,16.244122448979592,665.946,13.10948036368022,7.392223874542884,9.447135936542205,-1.643852771180718,3.7986024520433856
CH,2017,17.7814159292035,23.7725663716814,11.7840707964602,425.13,22.0503539823009,12.968897959183673,19.372448979591837,6.564857142857143,16.244122448979592,665.946,11.033617715746686,5.910724006585141,8.321099148537296,-1.1069584385057039,2.616536247754984
CH,2018,18.3038461538462,24.3707692307692,12.239230769230801,452.69,22.2573846153846,12.968897959183673,19.372448979591837,6.564857142857143,16.244122448979592,665.946,12.231388906995969,6.714296203630322,9.04677000879324,-0.9802734401450585,2.7098331052348112
CH,2021,18.1895104895105,23.0496503496503,13.3265734265734,659.1,19.3988811188811,12.968897959183673,19.372448979591837,6.564857142857143,16.244122448979592,665.946,11.969252532770467,4.939623305079748,10.780342661818398,-0.031468994875797504,1.4216691782518003
CH,2022,17.5842975206612,23.3471074380165,11.8314049586777,857.23,19.4138016528926,12.968897959183673,19.372448979591837,6.564857142857143,16.244122448979592,665.946,10.58168607037079,5.339200542790691,8.39656497213945,0.879274790508625,1.4283930089934627
HM,2017,13.5111111111111,20.9969696969697,6.01111111111111,209.94,18.6655555555556,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142857,540.522,9.039419863232768,6.8593891558804625,12.31029837368892,-2.4017506441201584,3.06473906640693
HM,2018,14.5595238095238,22.2365079365079,6.85396825396825,364.75,20.2063492063492,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142857,540.522,11.3136897700204,8.993702931300726,14.702881102132038,-1.277022082927348,4.723715116328336
HM,2021,13.6910828025478,21.0152866242038,6.36433121019108,514.99,18.0322929936306,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142857,540.522,9.42982356830792,6.8909283765935525,13.312969248059078,-0.18549557279487683,2.3829038167585788
HM,2022,13.8113402061856,21.3587628865979,6.27319587628866,246.01,19.309175257732,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142857,540.522,9.690692016940732,7.4823470960601774,13.054267251292842,-2.1396941929721405,3.7577258726663176
JC,2012,13.2717948717949,20.2653846153846,6.25897435897436,106.16,18.9928205128205,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,6.636312933075283,6.515503239004014,5.819626821810241,-4.246471585473428,3.0748192038046405
JC,2017,12.6081395348837,19.4011627906977,5.81395348837209,133.33,16.8996511627907,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,5.8341576612021004,5.591660065151731,5.287516247845286,-3.970242108219539,2.2838760845816237
JC,2018,14.4026086956522,21.0408695652174,7.76,286.81,18.594,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,8.003119195096769,7.344487715978735,7.614400209182679,-2.409855646352526,2.9241174268959167
JC,2021,12.6908163265306,18.9295918367347,6.45204081632653,291.18,13.1902040816327,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,5.934088484616838,5.087556148355184,6.050476002649805,-2.3654271290319704,0.8821922480960317
MM,2012,14.9677083333333,21.1583333333333,8.77395833333333,185.63,20.5659375,8.886244897959184,15.235510204081633,2.53734693877551,10.908775510204082,331.68,6.359315452826587,8.096178184402284,4.782651003755191,-2.532601013064006,7.863237610626732
MM,2017,14.1559139784946,20.2881720430108,8.00215053763441,232.8,18.932688172043,8.886244897959184,15.235510204081633,2.53734693877551,10.908775510204082,331.68,5.510431555043923,6.906714865663862,4.190777132629182,-1.7146428495157062,6.533382363640893
MM,2018,15.8731092436975,21.8924369747899,9.85210084033613,325.34,20.827731092437,8.886244897959184,15.235510204081633,2.53734693877551,10.908775510204082,331.68,7.306082635013571,9.099658071839363,5.609442833018056,-0.10993968108747607,8.07640015511411
MM,2021,14.0874074074074,20.1340740740741,8.03851851851852,291.28,17.8477037037037,8.886244897959184,15.235510204081633,2.53734693877551,10.908775510204082,331.68,5.438795031900344,6.696071294660647,4.218666534305182,-0.7005620056678256,5.6499457300412805
MM,2022,13.375,20.4619047619048,6.28214285714286,211.46,19.8786904761905,8.886244897959184,15.235510204081633,2.53734693877551,10.908775510204082,331.68,4.6938389069844515,7.144198075601321,2.871760131385866,-2.084692186172919,7.303654303323801
PL,2012,14.8247619047619,21.8761904761905,7.77333333333333,178.23,20.0920952380952,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,2.4064183196306117,3.016583599412018,1.7561255843104526,-2.7501798595058533,3.9164398714710744
PL,2017,10.8295454545455,17.675,3.97727272727273,7.26,16.53,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,0.08751006915727495,0.4008289534411978,-0.17851756621315293,-3.7650451456305425,1.7154752638400412
